ncalls;tottime;percall;cumtime;cum_percall;function
2000;0.001;0.000;0.001;0.000;{built-in method builtins.getattr}
1000;0.000;0.000;0.000;0.000;{built-in method builtins.len}
1000;0.003;0.000;0.003;0.000;{method 'copy' of 'numpy.ndarray' objects}
2000;0.014;0.000;0.014;0.000;{method 'cumsum' of 'numpy.ndarray' objects}
1000;0.016;0.000;0.016;0.000;{method 'sort' of 'numpy.ndarray' objects}
1000;0.001;0.000;0.001;0.000;{built-in method numpy.array}
1000;0.001;0.000;0.001;0.000;/Users/Vlad/miniconda3/envs/DS/lib/python3.7/site-packages/numpy/core/numeric.py:541(asanyarray)
2000;0.002;0.000;0.016;0.000;/Users/Vlad/miniconda3/envs/DS/lib/python3.7/site-packages/numpy/core/fromnumeric.py:54(_wrapfunc)
1000;0.002;0.000;0.022;0.000;/Users/Vlad/miniconda3/envs/DS/lib/python3.7/site-packages/numpy/core/fromnumeric.py:815(sort)
2000;0.003;0.000;0.019;0.000;/Users/Vlad/miniconda3/envs/DS/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2252(cumsum)
1;0.000;0.000;0.000;0.000;{method 'disable' of '_lsprof.Profiler' objects}
1000;0.012;0.000;0.031;0.000;/Users/Vlad/Documents/test/profilers/gini.py:4(get_area)
1000;0.005;0.000;0.059;0.000;/Users/Vlad/Documents/test/profilers/gini.py:10(gini)


